Type,Section Key,Task Key,Question Title,Question Slug Key (use as key in QUESTION_HELP_CONTENT),Seller Guidance (fill this in),Buyer Guidance (fill this in),Disclaimer (optional),Video URL (optional)
SECTION,ownershipProfile,,,ownershipProfile,,,,
TASK,ownershipProfile,notes,,ownershipProfile.notes,,,,
QUESTION,ownershipProfile,notes,"About this form",ownershipProfile.notes.about_this_form,,,,
TASK,ownershipProfile,name_of_sellers_and_address_of_the_property,,ownershipProfile.name_of_sellers_and_address_of_the_property,,,,
QUESTION,ownershipProfile,name_of_sellers_and_address_of_the_property,"Address of the Property",ownershipProfile.name_of_sellers_and_address_of_the_property.address_of_the_property,,,,
TASK,ownershipProfile,give_your_home_a_story,,ownershipProfile.give_your_home_a_story,,,,
QUESTION,ownershipProfile,give_your_home_a_story,"What we love about our home?",ownershipProfile.give_your_home_a_story.what_we_love_about_our_home,,,,
QUESTION,ownershipProfile,give_your_home_a_story,"What is your council tax band?",ownershipProfile.give_your_home_a_story.what_is_your_council_tax_band,,,,
QUESTION,ownershipProfile,give_your_home_a_story,"What is your asking price for the property?",ownershipProfile.give_your_home_a_story.what_is_your_asking_price_for_the_property,,,,
QUESTION,ownershipProfile,give_your_home_a_story,"What is the type of the ownership?",ownershipProfile.give_your_home_a_story.what_is_the_type_of_the_ownership,,,,
QUESTION,ownershipProfile,give_your_home_a_story,"Please enter the percentage of shared ownership.",ownershipProfile.give_your_home_a_story.please_enter_the_percentage_of_shared_ownership_and_state_how_much_rent_you_pay_each_year_for_the_share_that_is_not_owned_by_you,,,,
TASK,ownershipProfile,seller_solicitor,,ownershipProfile.seller_solicitor,,,,
QUESTION,ownershipProfile,seller_solicitor,"Sellers Solicitor",ownershipProfile.seller_solicitor.sellers_solicitor,,,,
SECTION,boundaries,,,boundaries,,,,
TASK,boundaries,boundary_responsibilities,,boundaries.boundary_responsibilities,,,,
QUESTION,boundaries,boundary_responsibilities,"Who is responsible for boundary features?",boundaries.boundary_responsibilities.looking_at_the_property_from_the_road_who_owns_or_accepts_responsibility_to_maintain_or_repair_the_boundary_features_on_each_side_of_the_property,,,,
TASK,boundaries,moved_boundary_features,,boundaries.moved_boundary_features,,,,
TASK,boundaries,adjacent_land_purchased,,boundaries.adjacent_land_purchased,,,,
TASK,boundaries,irregular_boundaries,,boundaries.irregular_boundaries,,,,
TASK,boundaries,complex_boundaries,,boundaries.complex_boundaries,,,,
TASK,boundaries,notices_under_the_party_wall_act_1996,,boundaries.notices_under_the_party_wall_act_1996,,,,
SECTION,disputesAndComplaints,,,disputesAndComplaints,,,,
TASK,disputesAndComplaints,past_disputes_or_complaints,,disputesAndComplaints.past_disputes_or_complaints,,,,
